ÚČTOVNÁ ZÁVIERKA 2022
IČO: 46958819
Typ: IFRS
Stĺpce: Bežné účtovné obdobie (2022) | Predchádzajúce obdobie (2021)


--- TITULNÁ STRANA ---
Účtovná závierka k 31.12.2022
 Dokument: PDF veľkosť 145 KB
Stiahnuť
 Dokument: PDF veľkosť 175 KB
Stiahnuť
 Tlačová zostava: XLSX <200KB
Stiahnuť

--- STRANA AKTÍV ---
Označenie | STRANA AKTÍV | Číslo riadku | Bežné účtovné obdobie | Bezprostredne predchádzajúce účtovné obdobie
I. | Ostatné náklady na hospodársku činnosť (543, 544, 545, 546, 548, 549, 555, 557) | 17 | 2449 | 1090
** | Výsledok hospodárenia z hospodárskej činnosti (+/-) (r. 01 - r. 08) | 18 | 3574 | 360
* | Pridaná hodnota (r. 02 - r. 09) + (r. 03 + r. 04 + r. 05) - (r. 10 + r. 11) | 19 | 13898 | 8136
* | Výnosy z finančnej činnosti spolu súčet (r. 21 až r. 26) | 20 |  | 
VII. | Tržby z predaja cenných papierov a podielov (661) | 21 |  | 
VIII. | Výnosy z dlhodobého finančného majetku (665) | 22 |  | 
IX. | Výnosy z krátkodobého finančného majetku (666) | 23 |  | 
X. | Výnosové úroky (662) | 24 |  | 
XI. | Kurzové zisky (663) | 25 |  | 
XII. | Ostatné výnosy z finančnej činnosti (668) | 26 |  | 
* | Náklady na finančnú činnosť spolu súčet (r. 28 až r. 33) | 27 | 179 | 87
J. | Predané cenné papiere a podiely (561) | 28 |  | 
K. | Náklady na krátkodobý finančný majetok (566) | 29 |  | 
L. | Opravné položky k finančnému majetku (+/-) (565) | 30 |  | 
M. | Nákladové úroky (562) | 31 | 90 | 
N. | Kurzové straty (563) | 32 |  | 
O. | Ostatné náklady na finančnú činnosť (568, 569) | 33 | 89 | 87
** | Výsledok hospodárenia z finančnej činnosti (+/-) (r. 20 - r. 27) | 34 | -179 | -87
** | Výsledok hospodárenia za účtovné obdobie pred zdanením (+/-) (r. 18 + r. 34) | 35 | 3395 | 273
P. | Daň z príjmov (591, 595) | 36 | 548 | 41
Q. | Prevod podielov na výsledku hospodárenia spoločníkom (+/-) (596) | 37 |  | 
*** | Výsledok hospodárenia za účtovné obdobie po zdanení (+/-) (r. 35 - r. 36 - r. 37) | 38 | 2847 | 232
